symbol,name,industry,sector,market_cap,exchange
TTKPRESTIG,TTK Prestige Limited,"Furnishings, Fixtures & Appliances",Consumer Cyclical,121225494528,BSE
DHINDIA,D & H India Limited,Unknown,Unknown,1074480000,BSE
RAJRATAN,Unknown,Steel,Basic Materials,28487606272,BSE
SURANAT&P,Surana Telecom and Power Limited,Utilities—Independent Power Producers,Utilities,3232445440,BSE
ONWARDTEC,Onward Technologies Limited,Information Technology Services,Technology,9385761792,BSE
CENTUM,Centum Electronics Limited,Electronic Components,Technology,23989983232,BSE
ALFATRAN,Alfa Transformers Limited,Unknown,Unknown,862996864,BSE
NHCFOODS,NHC Foods Limited,Unknown,Unknown,74330848,BSE
PVP,PVP Ventures Limited,Conglomerates,Industrials,8064711680,BSE
TRIGYN,Trigyn Technologies Limited,Information Technology Services,Technology,4017533952,BSE
KEI,KEI Industries Limited,Electrical Equipment & Parts,Industrials,389409701888,BSE
KEERTHI,Keerthi Industries Limited,Unknown,Unknown,897874880,BSE
SURAJ,Suraj Products Limited,Unknown,Unknown,6361769984,BSE
APCL,Anjani Portland Cement Limited,Building Materials,Basic Materials,5419650560,BSE
MODINATUR,Modi Naturals Limited,Unknown,Unknown,4796775424,BSE
PRSNTIN,Prashant India Ltd.,Unknown,Unknown,0,BSE
ZKHANDEN,Khandelwal Extractions Limited,Unknown,Unknown,64998644,BSE
TASTYBITE,Unknown,Packaged Foods,Consumer Defensive,33173121024,BSE
RITESHIN,Ritesh International Ltd,Unknown,Unknown,327915136,BSE
AVTNPL,AVT Natural Products Limited,Specialty Chemicals,Basic Materials,13618758656,BSE
HNDFDS,Hindustan Foods Limited,Packaged Foods,Consumer Defensive,75136974848,BSE
NAHARINDUS,Nahar Industrial Enterprises Limited,Textile Manufacturing,Consumer Cyclical,6465717760,BSE
VADILENT,Vadilal Enterprises Limited,Unknown,Unknown,4049967616,BSE
VADILALIND,Vadilal Industries Limited,Packaged Foods,Consumer Defensive,28475666432,BSE
ASHAI,Ashiana Agro Industries Limited,Unknown,Unknown,54050000,BSE
ADFFOODS,ADF Foods Limited,Packaged Foods,Consumer Defensive,29410594816,BSE
RGRL,Retro Green Revolution Limited,Unknown,Unknown,54471700,BSE
WILLIMFI,Williamson Financial Services Limited,Unknown,Unknown,61021724,BSE
AJANTSOY,Ajanta Soya Limited,Unknown,Unknown,713240384,BSE
WILLAMAGOR,Williamson Magor & Co. Limited,Credit Services,Financial Services,417877088,BSE
KISAAN,Unknown,Unknown,Unknown,0,BSE
SIEL,Superior Industrial Enterprises Limited,Unknown,Unknown,879475008,BSE
SPTRSHI,Saptarishi Agro Industries Ltd,Unknown,Unknown,0,BSE
